Label,cg20855160,cg07614747,cg21009747,cg25792518,cg03497652
Cancer,0.312235380029013,0.267151538493265,0.875868986142366,0.648939876678172,0.776729467045587
Cancer,0.0707558646466072,0.229299492815254,0.27105324021249105,0.9250910116167241,0.8651196846934449
Cancer,0.34227520063781997,0.432549409007845,0.7782547457982271,0.546719328705093,0.603763996724976
Cancer,0.19202716809057802,0.745386884873125,0.976758843677894,0.9222845710308051,0.9706690951195459
Cancer,0.061185972023077004,0.10172124412732302,0.9823088964066391,0.956687557711145,0.966680960090922
Cancer,0.11724399811433998,0.0811218369990748,0.97640679828135,0.9658727033710429,0.9718746947486658
Cancer,0.16960765994475901,0.591033947422463,0.968207651855015,0.7498711166421491,0.953655035703478
Cancer,0.20188331982236898,0.431207932570031,0.729016392127189,0.7712803289804759,0.665704873713968
Cancer,0.0914302629632432,0.550785877178536,0.979969292590636,0.9488835005719259,0.955218493565803
Cancer,0.07286725848744902,0.0686623067258987,0.9793016229433771,0.9637607965564259,0.9562064850650899
Cancer,0.14723631879486,0.179495866951426,0.977992128317105,0.732637709747699,0.971389999129949
Cancer,0.0266985669674187,0.0469995631528751,0.9729121256793142,0.974706499501917,0.9554023551972229
Cancer,0.16503307336954298,0.184866653248459,0.9724334948839191,0.8578488260419741,0.958986720347351
Cancer,0.201670615687674,0.119308036969266,0.973612961078529,0.944154943158556,0.9483718093337901
Cancer,0.0368640777190637,0.0568183706428528,0.948849328925962,0.946744010229425,0.971486743041473
Cancer,0.107633052324783,0.222169778376154,0.9693973021779859,0.856759927786754,0.974085803352818
Cancer,0.558656774764178,0.459890119399428,0.9660589900408479,0.5692846088363349,0.9374835211840921
Cancer,0.21284165786203998,0.29600230249985304,0.9661482120655001,0.8234490274449541,0.935308951219593
Cancer,0.179882529939464,0.142902705687897,0.9686300037028169,0.8296686666586751,0.9186599913033481
Cancer,0.0846322063600361,0.24133905595618102,0.975884796216547,0.8824087086492859,0.9672788918390849
Cancer,0.0367981115022903,0.129630688065196,0.975588413874125,0.977619309805331,0.972787125012425
Cancer,0.0879820749076972,0.15241275157300302,0.976282293609318,0.9655483799836669,0.958673727468862
Cancer,0.15120713037052402,0.47179662415709006,0.6667080480762679,0.587800679586852,0.489948688412015
Cancer,0.393808899619209,0.362101090224455,0.9587386626168901,0.75226565685286,0.913691427988393
Cancer,0.151470299771067,0.15294510436805803,0.3824038534334,0.579635677939111,0.256433085841194
Cancer,0.0375070568184169,0.0618184114758253,0.9734766156159741,0.9408897350124641,0.958695901497249
Cancer,0.10146229382070598,0.1436074566693,0.9788067383478901,0.9512879185080899,0.9732812790325269
Cancer,0.16845323082187103,0.17871411664431502,0.969213715207902,0.874157972027476,0.963171895203365
Cancer,0.18935085995186102,0.21621319786643103,0.9714369438335791,0.8872288598557522,0.9466905782447521
Cancer,0.0750941289440041,0.17482780141551,0.969445339893078,0.959271573893756,0.969169747856154
Cancer,0.20142084910349303,0.189139679807173,0.974951977006625,0.798720323040034,0.9650474674170358
Cancer,0.154163800984766,0.24714552436470497,0.982108664872042,0.8731763377854441,0.953205667298038
Cancer,0.0545403972872626,0.148305726654958,0.9836277145013641,0.9760244242579229,0.970691749794436
Cancer,0.345129554723975,0.36564134180371294,0.947209831948825,0.77087900719665,0.331409102871143
Cancer,0.10032149691890599,0.720316246845642,0.919839232644223,0.871181194789982,0.69384603531748
Cancer,0.405477188323849,0.30082476931239394,0.977253975586562,0.7257191552909,0.973260852335173
Cancer,0.0670666014820134,0.0832055691780021,0.9751788172446809,0.936283959287955,0.915102397654903
Cancer,0.167188982823154,0.36268952173710206,0.9811547007596801,0.8715860984694008,0.948928491910894
Cancer,0.12486464746171999,0.32436380924314195,0.978273953380021,0.9726356330762571,0.7954188855516079
Cancer,0.175686269121328,0.131518508077832,0.976619772806443,0.83195166097391,0.964002453069952
Cancer,0.15112633289604302,0.225379508419462,0.971446028645177,0.7940990366298059,0.935581867238705
Cancer,0.075705142845202,0.20130775512972002,0.9790839350779991,0.9582481429030649,0.9788933264164409
Cancer,0.18311090466767002,0.12637337132332901,0.9194703634623241,0.950182119012071,0.976819204026708
Cancer,0.154275646110724,0.22442648782502697,0.730007533304335,0.898307982137215,0.9450066459774101
Cancer,0.0279937792962358,0.0389686004881799,0.9733889857857808,0.977486182548458,0.9703192401954059
Cancer,0.0730292217079828,0.0938616262109409,0.973053203345792,0.957772475577632,0.950248739429358
Cancer,0.232761331740615,0.37136059470530397,0.9698398467312349,0.80420090917164,0.967029188568673
Cancer,0.0759147980412858,0.177377878069158,0.9781297315218399,0.970720058567667,0.973997015559683
Cancer,0.38373653107449895,0.349209440029706,0.9370330662013342,0.610619515900255,0.806204763022037
Cancer,0.202379046642453,0.117116772924782,0.97309911373902,0.8759672353521321,0.9425202003955842
Cancer,0.0484683411864675,0.227456729801544,0.9733241287216559,0.980260817213494,0.9675998581750459
Cancer,0.115231889031204,0.14867612757999998,0.98105531129044,0.955255376096807,0.9517938821780071
Cancer,0.326607007231761,0.14617096443413502,0.972700172865298,0.9406694755893259,0.974834048115164
Cancer,0.21771383333997302,0.30168217835510996,0.963508593286047,0.811053742892389,0.817973833827452
Cancer,0.0645500632143409,0.0655987139155456,0.983309781243271,0.965697122464662,0.9724309032738221
Cancer,0.36234039612978897,0.0844414577067347,0.976836547493912,0.8688741384630271,0.95647172919125
Cancer,0.21429268671827398,0.24358982550207398,0.970185715292702,0.877637153711381,0.951880543382465
Cancer,0.053497980628792,0.08336497130931599,0.9815564367123472,0.947559229433721,0.973723615822463
Cancer,0.43322832882074697,0.10945500161103598,0.9736541302262591,0.913886720949717,0.964037851599471
Cancer,0.203808263364922,0.125377952848315,0.961451799009379,0.7260915234523929,0.9670206164983108
Cancer,0.39531990806419204,0.43112557009603003,0.9782473283919699,0.9616026075219859,0.961436410226585
Cancer,0.0822650861999321,0.21474547781614,0.966611440957696,0.9225908107664309,0.8678416451583859
Cancer,0.0717620919895439,0.15445960528041103,0.9649650936631959,0.822738194626991,0.942408090271437
Cancer,0.188255443138198,0.18603928934205,0.977988791939509,0.908582800466137,0.966093278425771
Cancer,0.07047772080047099,0.0768501446710107,0.977340279732092,0.95736670225872,0.950864135551155
Cancer,0.0460662864617495,0.143997563955168,0.973122071952272,0.370546972728137,0.949842235832673
Cancer,0.0590645459335797,0.0934387941364472,0.9819167808185559,0.9786044541098929,0.8093385978609391
Cancer,0.12272158742188001,0.0576304806687263,0.9780045270979929,0.9279786465465211,0.9369965356375949
Cancer,0.0328812167779357,0.16183797329235,0.975458985574664,0.943780123159572,0.954123152460822
Cancer,0.113358420143057,0.200084791569718,0.98255990444079,0.8623404893637121,0.902611573148359
Cancer,0.119325382249931,0.20576002035660895,0.9796820899271821,0.929075267590909,0.965977769325912
Cancer,0.0684039695565502,0.127239570651935,0.977008626413326,0.9678382506497291,0.9723092867119258
Cancer,0.772372404854141,0.47646324211106394,0.975823412764235,0.7233183379506309,0.941830538179489
Cancer,0.38713300218665203,0.163201566442593,0.9773814641758759,0.869301514840961,0.960775222235369
Cancer,0.316805222172922,0.28775632238603005,0.971018243255914,0.734909254980855,0.9507794618731842
Cancer,0.0660297599949679,0.08953517877742599,0.980825279343206,0.964178072614498,0.9589084859117879
Cancer,0.0910047067691081,0.147584898276206,0.964655740248605,0.8696329468863421,0.952070201035234
Cancer,0.22353208589843698,0.19460714063213896,0.9758204434445791,0.7409159208235792,0.966686494164903
Cancer,0.16002248469747,0.210448379528413,0.973752158726292,0.9050789096599008,0.9396194546859771
Cancer,0.16876889280286,0.152040299350641,0.983766054901244,0.928468755345836,0.9760869034933861
Cancer,0.0506790585624761,0.24250692149802397,0.62068345507917,0.5823951650957919,0.9575315532009029
Cancer,0.20238030434760199,0.243605568111381,0.9389376586169941,0.705769259061858,0.918123293554943
Cancer,0.0867390800968371,0.11145483953215199,0.977329208032735,0.952286844447667,0.9625100861876729
