Label,ENSG00000169715.13,ENSG00000150656.13,ENSG00000112936.17,ENSG00000112312.8,ENSG00000101210.9
Late_Stage,-0.290154,0.166876,0.345512,-0.211241,-0.655628
Late_Stage,-0.390095,-0.223984,-0.463098,-0.263812,-0.477645
Late_Stage,-0.012537,2.257078,-1.825614,-1.426431,-1.14228
Late_Stage,-0.55337,-1.33191,0.919197,2.320923,0.717964
Late_Stage,-0.404581,1.604134,-2.363558,-1.237967,-1.111815
Late_Stage,-0.526924,-1.080993,-0.036901,1.040931,1.191099
Late_Stage,-0.53919,-0.539181,0.803057,-0.357226,0.133666
Late_Stage,-0.224371,0.036432,0.848558,-0.072626,-0.236105
Late_Stage,-0.359012,0.269279,-0.044397,-0.961449,0.455178
Late_Stage,-0.355338,-0.194104,1.535602,-0.745323,-1.052964
Late_Stage,-0.22398,0.318327,-0.430261,-0.262259,-0.056083
Late_Stage,-0.201908,-0.90695,0.047797,-0.539424,1.498326
Late_Stage,-0.426443,-1.511031,0.40031,0.714602,-0.068925
Late_Stage,-0.420155,-0.370729,-0.116023,-0.437169,0.382563
Late_Stage,-0.337076,2.055479,-2.280808,-1.363371,-1.118499
Late_Stage,-0.168287,0.623769,-0.998383,-0.117013,-0.97506
Late_Stage,-0.155596,-0.435009,0.226374,0.780544,-0.682838
Late_Stage,-0.540585,-0.216567,0.688089,-0.106318,-0.83398
Late_Stage,-0.41266,-0.39101,-1.751723,-0.84962,-0.44997
Late_Stage,-0.300236,-0.629048,0.460295,2.042525,-0.81908
Late_Stage,-0.662367,-0.958822,0.525191,0.704711,-1.142131
Late_Stage,-0.327703,0.274684,0.119949,-0.356678,-1.02248
Late_Stage,-0.376696,0.690289,-1.473456,-1.53938,1.244579
Late_Stage,-0.086535,-0.164895,-1.347403,-0.604453,-0.74041
Late_Stage,-0.569513,0.3264,0.305389,-0.47351,0.235728
Late_Stage,-0.441796,0.418706,-2.147015,-0.121333,-0.989586
Late_Stage,-0.226417,-0.565481,0.995442,0.064655,2.058424
Late_Stage,-0.376723,1.752162,-1.185976,-0.139216,-0.065059
Late_Stage,-0.150354,1.051639,-2.350771,1.97367,-1.10914
Late_Stage,-0.48593,-0.446063,0.377631,2.329984,1.307066
Late_Stage,-0.509344,0.281074,1.085063,-0.098181,-0.440785
Late_Stage,-0.347299,-0.043722,-1.038112,-0.99503,-0.825142
Late_Stage,-0.492957,-0.629761,-0.141412,-1.144336,-1.10193
Late_Stage,0.014739,-0.688265,-1.1909,-0.26267,0.215185
Late_Stage,-0.168979,0.923892,-1.254575,-1.414772,0.12731
Late_Stage,-0.125516,1.467386,-1.953762,-1.607286,-0.985366
Late_Stage,-0.583343,-0.731466,1.232551,3.045945,1.144966
Late_Stage,-0.430101,-1.005745,0.596739,1.706852,1.737152
Late_Stage,-0.536366,-0.649672,-0.084418,-0.591,1.063244
Late_Stage,-0.43496,0.774422,-1.285402,-0.063411,-1.047009
Late_Stage,-0.396351,0.888207,-1.023551,-1.005593,-0.966841
Late_Stage,-0.187902,-0.827323,-0.370534,-1.378683,-1.097558
Late_Stage,-0.387262,-0.043922,-0.139761,-1.247276,-0.97012
Late_Stage,-0.635622,-1.012334,0.513549,1.039561,-1.047185
Late_Stage,-0.497108,0.204785,-1.783948,0.294748,0.659358
Late_Stage,-0.094355,0.789598,0.412358,-1.149922,-1.075509
Late_Stage,-0.254198,-0.85445,0.289817,0.758706,0.878095
Late_Stage,-0.154148,1.622461,-0.761179,-0.579592,0.939467
Late_Stage,0.11604,1.758324,-1.054282,-1.612317,-0.999021
Late_Stage,-0.523789,0.832884,-0.10617,-0.970581,0.002674
Late_Stage,-0.376227,1.043638,0.799162,-0.453216,-1.078769
Late_Stage,-0.529837,-0.885499,-1.138549,0.327929,1.215252
Late_Stage,-0.41933,1.742607,-1.973149,-0.814343,-1.063087
Late_Stage,-0.458576,-0.710558,1.584741,-0.062443,-1.130467
Late_Stage,0.004782,1.024627,-0.146018,0.971519,-0.581618
Late_Stage,-0.281176,0.008321,1.404219,-0.390032,-0.712953
Late_Stage,-0.290827,0.448642,-0.093093,-0.351518,-0.236099
Late_Stage,-0.139842,2.704587,0.012597,-0.750822,0.413958
Late_Stage,-0.118188,-0.431372,-1.007488,0.297881,-0.586891
Late_Stage,-0.389951,-0.298176,0.562006,0.487934,0.983267
Late_Stage,-0.380412,1.187845,-0.243805,-1.534883,-0.975602
Late_Stage,-0.433539,-0.388728,-1.896219,-0.888096,-1.121313
Late_Stage,-0.32534,-0.010776,-0.816102,-0.66812,0.516347
Late_Stage,0.045868,2.354803,-1.665662,-1.111902,-0.883995
Late_Stage,-0.163373,0.294823,0.492067,-1.009641,-1.031468
Late_Stage,-0.110642,1.632402,0.405892,-0.503832,1.025993
Late_Stage,-0.24588,1.135131,-0.161536,-0.818508,0.503797
Late_Stage,-0.437429,1.501488,-2.160562,-0.946101,-1.143499
