Label,ENSG00000263761.2,ENSG00000160339.14,ENSG00000104938.15,ENSG00000182566.11,ENSG00000165682.13
Cancer,-0.491049547234434,-0.590476721538152,-0.43629708579272,-0.494069935771835,-0.443142795534274
Cancer,-0.491049547234434,-0.60065886848639,-0.451311362308343,-0.566904109644843,-0.480802133268568
Cancer,-0.41799482737039,-0.267884863159743,-0.426286381371688,-0.196728951402872,-0.438874721215027
Cancer,1.65823817924917,0.704122024597229,-0.0521237037525723,0.684371222231173,0.610765568039462
Cancer,-0.491049547234434,0.510368676981472,-0.439197784693175,-0.532289308572291,-0.480802133268568
Cancer,-0.491049547234434,-0.746518495412608,-0.443625900937704,-0.537103216143587,-0.471111645244321
Cancer,-0.491049547234434,-0.630761241886686,-0.451311362308343,-0.505532889291901,-0.460292097742748
Cancer,-0.491049547234434,-0.685131956219615,-0.437966055730037,-0.567654660893866,-0.472370916514506
Cancer,0.685700377858848,0.263018702823613,-0.333959445070614,0.356027759894025,0.184022729067118
Cancer,-0.491049547234434,-0.734403387891177,-0.444915528171316,-0.507066814024657,-0.472737361199152
Cancer,-0.116129149747799,0.173560599907896,0.1369112566565,0.129947964994859,-0.111818059023652
Cancer,-0.491049547234434,-0.533957293764494,-0.438569181257015,-0.568407634448034,-0.480802133268568
Cancer,-0.491049547234434,-0.626226905574582,-0.347600807178765,-0.19441928344759,-0.339043400270437
Cancer,-0.491049547234434,-0.746518495412608,-0.437305743978956,-0.491860187903764,-0.471952898790221
Cancer,-0.477410549088466,-0.637341263584798,-0.443650199520086,-0.41733978686204,-0.480802133268568
Cancer,-0.491049547234434,1.24635812564786,-0.451311362308343,-0.564713074084013,-0.480802133268568
Cancer,-0.491049547234434,-0.746518495412608,-0.430867843477466,-0.567264548650344,-0.455036257863223
Cancer,-0.491049547234434,0.369765684654742,-0.451311362308343,-0.538067172475841,-0.480802133268568
Cancer,-0.491049547234434,-0.702337971929516,-0.439430757364914,-0.540390708128075,-0.443584687320376
Cancer,-0.47825506761949,-0.574490844491287,-0.436972194757432,-0.540109539058427,-0.462726112172473
Cancer,-0.473440023015814,-0.674247345261908,-0.402416806927869,-0.467324053518824,-0.480802133268568
Cancer,-0.470659461267882,-0.703837994292011,-0.41715071518524,-0.569999755061887,-0.480802133268568
Cancer,-0.491049547234434,-0.520131700153809,-0.451311362308343,-0.555955714295097,-0.452126535337024
Cancer,-0.491049547234434,-0.550424152050785,-0.451311362308343,-0.525082163518227,-0.474677100224909
Cancer,-0.491049547234434,-0.70403534535726,-0.451311362308343,-0.467350093299128,-0.480802133268568
Cancer,-0.491049547234434,-0.70050765374453,-0.451311362308343,-0.553576647297425,-0.46518811688157
Cancer,-0.477574392367068,-0.718127214148947,-0.451311362308343,-0.502235526413949,-0.461764690404545
Cancer,-0.491049547234434,-0.675336026738544,-0.451311362308343,-0.584401933644291,-0.456315324973525
Cancer,-0.491049547234434,-0.7174311962798,-0.451311362308343,-0.584401933644291,-0.294484395344545
Cancer,-0.448010514995287,-0.672325624112865,-0.43506446677162,-0.554030223935733,-0.470533626977364
Cancer,-0.491049547234434,-0.664601825721688,-0.442277507627104,-0.539835273558441,-0.458092391081521
Cancer,-0.10938159467856,-0.404137537197242,-0.380429816332416,-0.352820478185676,-0.426769115365952
Cancer,-0.491049547234434,-0.681090171142386,-0.4423862059558,-0.540359642064597,-0.469548989742427
Cancer,-0.455926646921642,-0.436155571272773,-0.451311362308343,-0.466923767593695,-0.406904122794164
Cancer,-0.491049547234434,-0.665898216164262,-0.451311362308343,-0.575084718578852,-0.480802133268568
Cancer,-0.491049547234434,-0.705705501748088,-0.429476015338286,-0.504912173598623,-0.480802133268568
Cancer,-0.491049547234434,-0.24504459023695,-0.437525477038498,-0.485411406032815,-0.47209202694357
Cancer,-0.491049547234434,-0.731879696407431,-0.451311362308343,-0.546108983325071,-0.480802133268568
Cancer,-0.448654144098467,-0.374239567049898,-0.451311362308343,-0.479375021612718,-0.460631780680646
Cancer,-0.491049547234434,-0.718261646477033,-0.436281509778373,-0.556279758165803,-0.480802133268568
Cancer,-0.478786794436818,-0.733479936968611,-0.444425061730968,-0.558662155833048,-0.463477036907297
Cancer,-0.478519069172715,-0.610980957284358,-0.451311362308343,-0.566783599963904,-0.471929037393689
Cancer,-0.401997765441417,0.536445242917303,-0.317178514756267,-0.217982862317013,-0.416927555824804
Cancer,-0.476885314895232,0.348019602730227,-0.404150751096463,-0.428146295687947,-0.470769403918897
Cancer,-0.473882953650684,0.39431611309549,-0.451311362308343,-0.548514816794589,-0.480802133268568
Cancer,-0.491049547234434,-0.731205992100938,-0.451311362308343,-0.534641911886259,-0.460443194590218
Cancer,-0.491049547234434,1.72872225500513,-0.442159129918064,-0.528335319327293,-0.446400433433481
Cancer,-0.491049547234434,-0.540792957266837,-0.44545251126594,-0.513313938992325,-0.473414333336124
Cancer,-0.39062011007541,-0.335992467804907,-0.375313540648298,-0.358520767766974,-0.294338744569533
Cancer,-0.0664777617881889,0.680337419664842,0.281470020669211,0.858898307892491,0.12318630013726
Cancer,-0.462894664770772,-0.213724061601409,-0.443362766426755,-0.50745862188178,-0.470779941435837
Cancer,-0.491049547234434,-0.323761329757676,-0.451311362308343,-0.555695800953092,-0.471104527354272
Cancer,-0.491049547234434,-0.558925343945775,-0.451311362308343,-0.436039377001304,-0.438200421453144
Cancer,-0.477104822877462,-0.622150410511003,-0.427925089338273,-0.499492871414087,-0.461101409440425
Cancer,-0.491049547234434,-0.6633087409921,-0.443654694312797,-0.386003636360199,-0.471147931285226
Cancer,-0.491049547234434,-0.241553206371846,-0.303064420612675,-0.526095232087286,-0.480802133268568
Cancer,-0.285591412584062,-0.524456123691318,-0.440999562404253,-0.509397677149953,-0.454892253575233
Cancer,-0.491049547234434,-0.684719844000726,-0.451311362308343,-0.518819233009491,-0.438741862377646
Cancer,-0.491049547234434,-0.726297944935796,-0.451311362308343,-0.435129195843258,-0.480802133268568
Cancer,-0.491049547234434,-0.730098412965066,-0.41684620410475,-0.490707170654981,-0.480802133268568
Cancer,0.675617714560253,-0.186899853578637,0.224459583013057,0.95679577030751,1.100813299946
Cancer,-0.476306993952054,-0.730855035572285,-0.443028605290382,-0.523693516536513,-0.480802133268568
Cancer,-0.475563588493315,-0.581961204886891,-0.442609766264582,-0.510548877669877,-0.363594928170724
Cancer,-0.491049547234434,0.338906853932876,-0.451311362308343,-0.575411548100474,-0.409931759121699
Cancer,-0.491049547234434,-0.693551441908641,-0.444139241867694,-0.584401933644291,-0.480802133268568
